"id","Number.of.Open.Complaints","Number.of.Policies","Response","Coverage","Education","EmploymentStatus","Gender","Location.Code","Marital.Status","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Vehicle.Class","Vehicle.Size"
2592,0,9,1,2,1,2,2,2,1,2,6,2,2,1,2
2593,0,1,2,2,1,2,1,2,3,2,6,2,1,5,2
2594,0,9,2,3,4,2,1,2,2,2,6,2,4,1,1
2595,0,1,1,3,2,3,1,3,2,2,6,1,2,6,2
2596,0,6,1,2,4,5,1,2,3,2,4,3,3,6,3
2597,1,7,2,1,4,5,1,2,3,2,5,1,1,1,3
2598,1,1,1,1,2,2,2,3,3,2,4,1,1,1,3
2599,1,2,1,1,4,5,1,2,2,1,3,2,2,1,2
2600,0,1,1,1,5,2,2,1,1,2,6,4,2,1,2
2601,2,2,1,1,2,2,2,2,2,2,5,1,4,2,3
2602,0,1,1,2,1,5,1,3,2,2,6,1,2,1,2
2603,0,2,1,2,1,2,2,2,3,1,3,1,2,6,2
2604,0,9,1,1,2,5,1,3,2,3,9,3,1,1,2
2605,0,1,1,3,1,3,1,2,2,2,4,1,3,1,3
2606,1,2,1,2,4,2,1,2,2,2,6,3,3,1,2
2607,0,1,1,1,4,5,2,2,2,3,8,4,3,1,2
2608,0,7,2,2,5,2,1,2,1,2,4,2,1,3,2
2609,0,1,1,2,4,5,1,2,2,1,3,1,3,6,1
2610,0,5,1,1,2,5,2,2,3,2,5,1,1,1,1
2611,0,3,2,1,2,2,2,3,2,2,4,1,1,5,2
2612,0,1,1,1,2,3,2,2,2,2,6,1,1,5,3
2613,0,1,1,1,4,5,2,3,2,1,2,2,2,6,2
2614,0,9,1,2,2,2,2,2,3,2,6,4,4,5,2
2615,0,3,1,3,2,2,2,1,2,1,2,3,3,1,2
2616,0,2,1,1,2,2,1,2,2,2,5,3,4,1,2
2617,2,6,1,3,4,2,1,3,2,2,6,2,2,1,2
2618,0,1,1,2,4,5,1,2,3,2,6,3,1,6,3
2619,0,2,1,1,1,2,2,3,2,3,7,4,1,1,2
2620,0,1,2,1,1,2,2,3,1,2,6,1,1,6,2
2621,3,9,2,1,1,2,2,1,2,1,3,2,1,5,2
2622,0,8,1,2,3,3,2,2,2,2,4,2,1,4,2
2623,0,1,1,1,1,2,2,2,2,2,6,3,1,5,2
2624,0,1,1,1,4,2,2,3,2,2,6,4,3,3,2
2625,0,1,1,2,5,5,2,3,2,1,3,1,2,1,2
2626,0,2,1,1,2,2,1,1,2,1,2,4,2,1,2
2627,1,1,2,2,2,3,2,2,2,2,6,2,2,1,3
2628,0,1,2,1,2,3,1,2,2,2,4,2,3,1,2
2629,0,1,1,1,1,2,2,3,2,2,6,4,1,1,2
2630,0,3,1,3,1,5,1,2,2,3,7,1,2,1,3
2631,0,7,1,1,2,5,1,1,2,2,6,1,1,1,2
2632,0,9,1,3,3,5,1,1,2,2,4,1,1,1,2
2633,0,2,1,1,2,2,1,2,2,2,6,2,4,1,2
2634,0,2,1,1,2,1,2,2,2,2,5,3,1,1,2
2635,0,1,2,1,1,1,2,2,2,2,4,1,2,4,1
2636,0,2,1,1,2,3,2,2,2,2,5,1,1,6,2
2637,0,2,2,1,1,1,1,2,2,2,4,2,3,1,2
2638,0,9,1,1,2,1,1,2,2,2,6,1,3,5,1
2639,0,4,1,2,1,5,2,2,3,2,4,1,1,1,2
2640,0,1,2,1,1,2,1,1,3,2,6,2,4,1,2
2641,0,4,1,1,1,2,1,3,2,1,2,2,1,1,2
2642,0,1,1,1,2,2,2,3,1,2,6,1,4,5,2
2643,0,3,1,2,4,5,1,2,1,2,5,3,3,1,2
2644,0,1,1,1,2,3,1,3,2,2,6,3,2,1,2
2645,0,2,1,1,1,2,2,2,2,2,5,2,4,1,2
2646,0,4,1,2,2,2,1,3,2,2,4,2,2,1,2
2647,1,7,1,2,1,2,1,2,3,2,5,1,4,6,2
2648,0,1,1,1,1,2,1,2,1,2,5,3,3,1,3
2649,2,3,1,1,1,2,1,2,3,2,5,1,1,1,3
2650,0,3,1,1,4,5,1,2,2,2,6,2,3,6,2
2651,0,1,1,2,4,1,2,2,2,1,3,1,2,5,2
2652,1,4,1,2,1,2,2,1,2,1,1,1,1,1,2
2653,0,2,1,1,2,2,1,2,1,2,6,1,2,5,2
2654,2,1,1,1,4,2,2,3,2,2,6,2,3,1,2
2655,0,9,1,3,1,2,1,2,3,2,4,2,1,6,2
2656,0,1,1,1,2,5,1,2,3,2,6,1,1,6,2
2657,0,5,1,1,2,2,1,1,3,2,4,1,1,1,3
2658,0,1,1,1,1,5,1,2,3,2,6,1,1,1,2
2659,0,3,2,1,4,2,1,3,2,2,6,2,2,5,1
2660,0,6,1,1,2,5,2,2,3,2,5,3,2,1,2
2661,0,3,1,1,3,2,2,1,2,1,3,3,4,6,2
2662,0,3,1,1,1,5,1,2,2,2,5,1,2,6,2
2663,0,3,1,3,4,2,2,2,2,2,5,3,4,1,3
2664,0,6,1,2,2,5,1,2,3,1,2,3,1,1,2
2665,0,2,1,2,4,2,2,3,1,1,3,2,2,6,1
2666,0,7,2,2,4,2,2,2,3,2,5,2,2,6,3
2667,0,1,1,1,4,5,1,2,2,2,6,1,3,1,3
2668,1,6,1,1,4,3,1,2,2,1,3,1,1,1,2
2669,1,1,2,1,2,2,1,1,2,2,5,1,1,5,2
2670,0,5,1,1,5,2,2,1,1,2,5,1,2,1,1
2671,0,1,2,1,2,2,2,2,2,2,5,2,4,1,2
2672,0,6,1,2,4,5,1,2,3,2,5,3,1,1,2
2673,0,5,1,1,5,2,2,3,2,2,5,3,2,1,2
2674,0,3,1,1,2,2,1,3,2,1,3,2,3,5,2
2675,0,1,1,2,1,2,1,1,2,3,7,2,3,6,1
2676,0,4,1,1,2,2,1,2,3,2,5,3,2,1,2
2677,0,8,1,3,3,2,1,3,2,2,6,1,1,1,2
2678,0,8,1,2,2,5,2,2,2,2,6,2,4,6,2
2679,0,8,1,2,4,2,2,2,2,2,4,2,2,1,2
2680,1,1,1,1,4,1,2,3,3,2,5,3,3,1,2
2681,0,1,1,1,4,5,1,2,2,2,5,1,4,5,2
2682,0,5,1,2,1,5,2,2,3,2,4,1,3,6,1
2683,1,3,1,1,2,2,2,2,2,2,5,1,1,6,2
2684,0,7,2,1,3,2,1,3,2,2,5,2,2,1,2
2685,1,1,1,1,2,5,2,2,3,2,5,4,2,1,1
2686,0,3,1,1,4,3,1,2,2,2,5,2,4,5,1
2687,0,1,1,1,5,2,1,3,2,2,4,4,3,2,2
2688,0,1,1,1,2,2,2,1,3,2,4,1,3,1,1
2689,0,1,1,1,2,2,1,1,2,2,6,2,4,6,3
2690,0,3,2,1,4,5,1,2,1,2,6,1,4,4,2
2691,0,7,1,2,2,2,2,2,2,2,5,1,1,1,2
2692,4,3,1,1,2,1,1,1,2,2,6,3,1,1,1
2693,0,3,1,2,1,5,1,2,3,1,3,1,2,6,2
2694,0,4,1,2,4,5,2,2,3,2,4,3,4,1,2
2695,0,1,1,1,4,2,1,1,2,2,4,1,3,3,2
2696,0,1,1,2,5,2,1,1,2,1,2,2,2,3,2
2697,0,3,1,1,3,2,2,2,2,2,5,1,3,5,2
2698,0,4,1,1,4,5,1,2,3,2,4,1,1,1,2
2699,0,3,1,2,1,2,1,2,2,2,6,4,3,1,3
2700,0,1,1,1,5,5,2,2,3,2,6,1,1,5,2
2701,0,3,1,2,2,2,2,2,2,2,5,3,4,6,2
2702,0,1,1,1,1,2,2,2,2,1,3,4,2,5,2
2703,0,2,1,1,1,5,2,2,2,2,6,4,2,1,1
2704,0,3,1,1,2,2,1,2,2,2,6,2,2,4,1
2705,0,2,1,1,1,2,1,1,2,1,3,2,3,1,3
2706,0,1,1,1,5,2,2,2,1,2,4,4,2,1,2
2707,0,6,1,1,2,2,1,1,2,2,6,4,2,6,3
2708,0,4,1,1,2,2,2,1,2,2,5,1,2,5,2
2709,0,4,1,1,1,2,2,2,2,1,3,4,4,5,2
2710,0,2,1,3,1,5,2,2,3,2,6,1,4,5,2
2711,0,3,1,2,2,5,2,2,3,2,6,1,2,5,1
2712,3,3,1,2,2,5,2,2,3,2,6,1,1,1,2
2713,0,1,1,1,1,1,2,2,1,2,4,3,2,5,2
2714,0,2,1,3,4,5,1,2,3,1,2,2,2,5,2
2715,4,4,1,1,4,2,1,2,2,2,6,2,4,5,2
2716,0,7,1,2,3,2,1,1,2,1,3,2,3,1,2
2717,0,3,1,1,1,2,2,2,2,2,5,3,3,5,2
2718,0,3,1,1,1,2,1,2,1,2,6,2,1,6,2
2719,0,1,1,1,2,5,2,2,3,3,8,3,2,2,3
2720,0,1,2,3,1,2,1,1,1,1,2,2,1,1,2
2721,0,2,1,1,4,2,2,2,2,2,6,2,2,5,2
2722,2,1,1,1,2,5,1,2,1,2,4,1,2,5,3
2723,0,2,1,2,2,5,2,2,2,1,1,3,2,6,3
2724,0,4,1,1,2,5,1,3,2,2,6,3,3,5,2
2725,1,5,1,1,4,2,2,3,2,2,5,1,4,5,2
2726,0,1,1,1,1,2,2,3,2,1,3,3,1,6,1
2727,2,3,1,1,3,2,2,3,1,2,6,1,1,1,3
2728,0,9,1,1,4,2,2,3,2,1,2,3,1,1,2
2729,0,5,1,1,2,2,2,1,1,2,4,3,4,1,2
2730,3,1,1,1,1,2,1,2,2,2,6,4,1,1,2
2731,0,1,1,1,2,2,1,2,2,2,5,2,4,1,2
2732,5,1,1,1,2,2,1,1,2,2,6,4,2,1,2
2733,1,1,1,1,2,2,2,1,1,2,6,2,4,3,2
2734,0,1,1,1,4,5,1,2,3,1,3,4,3,5,3
2735,0,1,1,1,4,2,2,2,3,2,6,3,4,1,2
2736,0,2,1,2,4,2,2,1,2,2,6,2,2,5,2
2737,0,1,1,2,1,3,2,2,2,2,5,2,2,6,2
2738,0,1,1,2,2,2,2,3,2,2,6,2,1,1,2
2739,0,2,1,1,2,5,1,1,3,2,6,2,1,6,2
2740,0,5,1,1,2,2,2,2,2,2,4,4,2,1,2
2741,1,3,1,1,4,2,1,1,3,1,3,3,2,1,2
2742,0,3,1,1,2,2,2,1,2,2,6,1,4,1,1
2743,0,1,1,2,2,3,2,2,3,1,3,4,1,6,2
2744,0,3,1,1,2,2,2,1,2,2,6,3,4,1,1
2745,0,7,1,1,4,5,2,2,3,1,2,1,3,1,3
2746,0,1,1,1,5,2,2,1,2,2,4,4,2,1,3
2747,0,2,1,1,4,2,2,2,2,2,6,4,1,1,2
2748,0,1,1,1,2,3,2,2,1,1,3,3,2,5,2
2749,0,1,1,1,1,2,2,2,3,2,5,2,3,6,3
2750,1,2,1,1,4,5,2,2,3,3,9,3,2,6,2
2751,0,1,1,1,2,2,1,3,2,1,1,3,1,6,2
2752,0,1,1,1,2,2,1,1,2,1,1,3,1,1,2
2753,0,5,1,2,5,2,1,1,2,2,6,1,3,1,2
2754,0,1,1,1,5,2,1,3,2,2,6,4,1,5,1
2755,1,1,1,2,2,2,2,1,1,2,6,1,1,1,2
2756,0,4,1,1,4,5,2,2,3,2,5,4,2,6,2
2757,0,2,1,1,1,5,1,2,3,2,6,1,1,5,2
2758,0,1,1,2,4,5,1,2,3,2,4,1,4,1,3
2759,2,9,1,2,2,2,2,3,2,2,6,1,1,6,2
2760,0,2,1,2,1,2,1,3,2,1,1,3,4,4,2
2761,0,1,1,1,5,2,2,1,3,3,8,3,1,3,3
2762,2,2,1,1,1,2,2,3,3,2,4,1,3,1,2
2763,0,1,1,1,3,2,1,3,2,2,6,4,1,1,2
2764,0,1,1,1,1,2,1,2,2,2,5,2,1,5,2
2765,0,2,2,1,1,4,2,2,2,1,3,1,1,5,2
2766,0,1,1,1,2,5,2,2,2,2,4,3,3,1,2
2767,3,1,1,2,5,2,2,3,3,2,6,3,1,1,2
2768,0,1,1,1,1,2,2,1,2,2,6,2,1,1,2
2769,1,3,1,1,2,2,1,1,3,2,6,1,2,1,2
2770,0,2,1,1,2,2,1,2,2,2,4,1,1,1,3
2771,0,2,1,1,1,5,2,2,3,2,5,1,1,3,2
2772,3,1,1,1,1,5,1,2,3,2,4,1,1,1,2
2773,0,3,1,2,2,2,1,3,2,2,6,1,3,6,2
2774,0,1,1,2,4,2,2,2,2,2,6,2,1,5,2
2775,0,2,1,1,1,5,2,2,1,2,4,3,3,5,2
2776,0,2,1,2,2,5,1,2,3,2,6,1,1,5,2
2777,0,1,1,1,2,2,2,3,1,2,5,1,1,6,1
2778,0,2,1,1,1,2,1,3,2,2,4,1,1,1,2
2779,0,1,1,3,2,2,1,3,2,2,5,2,3,1,2
2780,0,2,1,1,1,5,1,2,3,2,6,2,1,6,2
2781,0,2,1,1,2,5,1,2,2,3,8,1,1,1,3
2782,0,1,1,1,4,5,2,2,2,2,6,2,3,1,3
2783,0,3,1,1,2,5,2,2,3,2,6,1,1,1,3
2784,0,1,1,1,1,2,2,2,2,2,6,2,3,1,2
2785,2,2,1,1,4,2,1,2,1,3,9,1,2,6,3
2786,0,1,1,1,2,2,1,1,2,2,6,1,1,6,1
2787,0,2,1,3,1,2,2,1,1,2,6,1,1,5,2
2788,0,1,1,1,3,2,1,3,2,2,6,2,2,5,2
2789,3,2,1,1,4,2,1,1,2,2,5,2,1,6,2
2790,0,3,1,1,4,2,2,2,2,2,6,4,1,5,2
2791,0,1,2,1,1,1,2,2,2,2,5,1,2,4,1
2792,0,3,1,2,1,3,2,2,3,2,5,1,4,1,3
2793,0,2,1,3,2,5,1,2,3,2,6,1,1,6,2
2794,0,3,1,1,2,2,1,2,2,1,2,4,2,4,2
2795,0,9,1,1,2,5,1,2,2,2,5,1,1,5,3
2796,2,2,1,1,2,5,1,2,2,2,6,2,3,6,2
2797,0,1,1,1,1,2,2,2,2,2,4,3,1,1,2
2798,0,4,1,1,1,5,1,2,2,2,5,3,4,1,2
2799,0,1,1,1,1,2,1,3,2,2,6,4,2,6,2
2800,4,1,1,1,2,1,2,2,2,2,5,1,1,6,2
2801,0,8,1,2,3,2,1,2,1,2,6,2,3,6,3
2802,0,5,1,2,4,2,2,1,2,2,6,1,1,6,1
2803,0,2,1,2,2,4,2,2,1,2,5,2,2,1,3
2804,0,1,1,1,4,2,2,2,1,1,1,2,2,1,2
2805,0,2,2,2,2,2,2,2,3,1,2,2,2,1,2
2806,2,6,1,2,4,5,2,2,3,2,4,2,1,1,2
2807,0,1,1,1,2,2,1,1,2,1,2,3,4,1,2
2808,1,2,1,2,2,2,2,2,1,2,6,2,3,5,2
2809,0,1,1,2,2,2,1,2,2,3,8,1,1,5,2
2810,0,2,1,1,1,2,2,3,2,2,6,1,2,6,1
2811,0,9,1,1,2,2,2,3,2,2,6,2,4,1,2
2812,1,1,1,2,1,2,1,2,2,2,4,1,2,5,1
2813,0,1,1,2,5,5,1,2,2,2,6,2,4,1,2
2814,0,5,1,1,4,2,2,1,2,2,6,2,3,1,2
2815,0,1,1,1,1,1,2,2,2,2,6,2,4,6,2
2816,0,1,1,3,1,2,2,3,1,2,5,1,2,1,1
2817,0,2,1,1,4,5,2,2,3,2,5,1,3,1,3
2818,0,1,1,2,1,5,1,2,2,1,2,1,2,1,3
2819,0,2,1,1,2,2,2,2,2,2,6,2,4,6,2
2820,0,1,2,1,2,2,1,1,2,2,4,2,2,5,1
2821,0,3,1,1,1,3,2,1,1,2,5,3,2,1,2
2822,0,1,2,2,1,2,1,2,3,2,5,2,1,5,2
2823,2,8,1,1,1,2,1,3,2,2,6,4,4,6,2
2824,0,1,1,2,4,5,2,2,2,2,4,4,4,6,1
2825,0,4,1,3,2,2,1,3,3,1,2,1,2,1,2
2826,0,2,2,1,1,4,2,2,2,2,4,1,1,5,2
2827,0,3,1,2,4,5,1,2,3,2,6,1,1,1,3
2828,0,3,1,2,4,5,1,2,3,1,3,1,1,5,1
2829,0,1,1,1,4,2,1,2,2,2,6,2,2,5,1
2830,2,1,1,1,1,2,1,1,2,1,2,3,1,1,2
2831,0,3,1,2,5,2,1,1,2,2,6,3,3,5,2
2832,0,5,1,1,4,5,1,2,3,3,8,2,1,4,2
2833,2,1,1,1,1,2,2,3,2,2,4,4,4,1,2
2834,0,5,1,1,4,2,1,1,2,2,4,2,3,6,2
2835,1,2,1,1,2,2,2,3,1,2,5,1,4,1,2
2836,0,2,1,1,5,2,2,2,2,2,6,2,3,1,2
2837,1,2,1,1,5,5,1,2,3,2,5,4,4,5,2
2838,1,1,1,3,2,2,2,1,2,2,5,3,1,1,2
2839,0,1,1,1,1,5,2,2,2,2,5,4,3,1,2
2840,0,1,1,2,3,2,1,3,2,2,6,1,1,5,2
2841,0,1,1,1,4,2,2,3,2,2,6,2,3,1,2
2842,0,9,2,2,5,5,1,2,3,1,3,1,2,4,2
2843,0,9,1,2,5,2,2,2,2,2,4,2,1,1,2
2844,0,2,1,1,2,5,1,2,3,2,5,2,2,1,2
2845,0,2,1,1,3,2,2,2,2,1,2,2,2,6,2
2846,0,3,1,3,4,2,2,2,3,2,5,1,4,1,2
2847,0,9,1,1,4,2,1,1,2,2,6,2,4,1,1
2848,0,6,1,2,1,2,1,1,2,2,6,3,1,1,2
2849,0,9,1,1,2,1,1,2,1,2,6,2,1,1,2
2850,0,7,1,1,4,5,1,2,3,3,8,2,2,1,2
2851,0,4,1,2,2,2,1,3,2,2,5,2,4,1,2
2852,1,6,1,2,2,2,2,2,2,2,5,1,3,1,3
2853,1,2,1,2,2,2,2,2,3,2,4,1,3,1,2
2854,0,2,1,2,3,1,2,2,1,2,4,3,3,1,2
2855,0,1,2,1,5,2,1,2,1,2,4,2,2,5,2
2856,0,7,1,2,5,2,2,3,3,2,5,2,2,6,1
2857,0,1,1,1,1,2,1,2,2,3,9,2,2,6,3
2858,1,6,1,1,3,2,2,3,2,1,3,1,2,1,2
2859,0,7,1,2,4,2,2,1,2,2,4,1,2,1,2
2860,0,3,1,1,2,2,2,2,3,2,6,3,1,5,2
2861,0,1,1,1,4,2,2,3,3,1,3,2,2,6,2
2862,0,2,1,2,2,2,1,2,2,2,6,1,4,1,3
2863,0,1,1,2,4,5,2,2,3,2,5,1,1,6,2
2864,0,2,1,1,4,1,1,2,2,1,3,4,3,6,2
2865,3,1,1,1,1,3,1,2,2,2,6,2,2,6,2
2866,0,9,1,1,4,2,2,2,2,1,2,3,4,1,2
2867,0,4,1,1,5,2,1,3,2,2,5,3,3,6,2
2868,0,7,1,1,4,5,1,2,2,2,6,1,1,6,2
2869,0,3,2,1,4,5,2,2,2,2,5,2,4,4,2
2870,2,8,1,1,4,2,2,2,3,2,5,2,1,5,2
2871,0,1,1,1,2,5,2,2,3,1,3,1,1,6,2
2872,1,1,1,1,2,2,2,3,2,1,2,4,1,1,2
2873,0,9,1,2,4,5,2,2,2,2,6,1,1,1,3
2874,0,1,1,2,1,3,1,3,2,2,6,3,2,6,1
2875,0,2,1,1,2,5,2,2,3,2,6,3,1,6,2
2876,0,1,1,2,1,2,1,3,2,2,6,1,2,5,2
2877,0,5,1,1,2,2,1,1,2,1,3,2,4,3,3
2878,0,1,2,1,1,1,1,2,1,1,3,1,4,1,2
2879,0,3,1,1,2,2,1,1,3,2,6,2,1,1,2
2880,0,3,1,2,2,2,2,2,2,2,6,1,1,1,2
2881,0,8,1,3,1,2,1,3,2,2,5,1,2,5,2
2882,0,5,1,1,4,2,1,1,2,2,6,2,2,1,1
2883,0,2,1,2,2,5,1,2,3,2,4,3,1,1,2
2884,0,1,1,1,5,2,2,1,3,2,6,1,3,4,2
2885,0,8,1,1,4,2,1,1,2,2,6,4,1,6,1
2886,0,1,1,1,1,2,2,3,3,2,5,4,2,6,2
2887,0,1,1,1,1,5,2,2,3,1,2,3,3,1,2
2888,1,7,1,1,1,5,2,2,1,2,6,1,4,1,2
2889,1,1,1,2,4,2,2,2,1,2,6,1,1,1,1
2890,0,1,1,1,1,2,2,3,2,2,6,1,1,5,3
2891,0,1,1,1,1,2,2,3,1,1,3,1,3,6,2
2892,3,5,2,1,1,5,1,2,3,2,6,1,4,6,2
2893,0,8,1,2,1,2,1,3,2,2,6,3,2,1,2
2894,0,1,2,2,2,5,2,2,2,2,6,2,1,5,2
2895,0,1,1,1,1,5,1,2,2,2,4,4,3,1,1
2896,0,3,1,2,4,2,1,2,3,3,9,1,1,2,2
2897,4,3,1,1,2,5,1,2,2,2,5,1,4,5,2
2898,0,2,1,2,1,5,1,2,3,1,3,1,1,5,2
2899,0,2,1,1,4,2,2,2,3,2,5,4,2,5,3
2900,0,1,1,1,2,1,1,2,2,2,6,1,1,5,2
2901,0,4,1,2,4,2,2,3,2,2,6,2,4,5,2
2902,0,8,1,1,1,2,2,1,3,2,5,3,4,1,2
2903,0,1,1,1,1,2,2,2,1,1,2,1,3,6,3
2904,0,1,2,1,4,2,2,2,3,2,6,2,4,5,2
2905,1,1,1,3,2,2,2,3,1,2,5,1,3,1,2
2906,0,2,1,1,2,2,1,3,2,2,5,3,1,1,2
2907,0,1,2,1,2,3,1,2,2,1,2,2,3,1,2
2908,0,5,1,2,5,2,1,3,2,2,6,2,4,1,1
2909,0,2,1,3,1,2,1,2,2,2,5,2,1,5,2
2910,0,5,1,1,4,2,1,2,2,2,6,1,1,6,1
2911,0,2,1,1,2,5,1,2,3,1,1,1,2,1,2
2912,0,2,1,3,2,5,2,2,3,3,8,3,3,1,2
2913,0,8,1,1,2,2,1,3,2,2,6,4,3,1,1
2914,0,3,1,2,1,2,2,1,3,2,6,2,2,1,1
2915,3,2,2,1,2,2,2,2,2,2,5,2,1,1,1
2916,0,1,1,1,1,5,2,2,2,2,6,2,4,3,2
2917,0,3,1,1,2,2,1,1,2,2,6,1,3,1,2
2918,4,1,2,2,3,2,2,2,2,2,6,1,2,6,2
2919,0,2,2,1,4,5,1,2,1,2,4,2,1,1,2
2920,0,2,2,1,4,2,2,2,2,2,6,2,1,1,3
2921,0,2,1,1,1,5,1,2,1,1,2,1,3,5,2
2922,0,7,1,1,2,2,1,1,3,2,6,4,3,6,2
2923,1,3,1,1,2,2,2,1,2,2,5,3,3,1,2
2924,0,3,1,1,2,2,1,1,2,1,3,2,1,5,2
2925,0,1,1,1,1,2,1,3,1,2,6,1,2,5,3
2926,0,1,1,1,2,2,2,1,3,1,3,1,1,6,2
2927,0,3,1,1,1,2,1,2,2,2,5,1,1,6,2
2928,0,9,1,1,4,2,2,1,2,2,6,3,1,1,2
2929,0,1,1,1,1,2,2,2,2,1,3,2,3,6,2
2930,1,3,1,1,1,3,2,2,2,1,3,2,1,1,2
2931,1,2,1,2,4,2,1,2,2,2,6,2,4,1,1
2932,2,2,1,1,2,5,1,2,3,2,5,2,2,1,2
2933,0,5,1,1,1,2,1,3,2,2,4,2,4,6,2
2934,0,2,1,2,5,5,2,2,2,2,6,1,1,1,2
2935,0,1,2,1,4,2,2,2,2,2,6,2,3,1,3
2936,0,1,1,3,5,2,1,2,2,2,6,4,1,5,2
2937,5,2,1,2,4,5,1,2,3,3,8,1,1,1,1
2938,0,2,1,1,4,2,1,2,2,2,4,4,1,6,2
2939,3,2,1,1,2,5,2,2,3,2,6,1,1,6,2
2940,0,1,1,2,4,2,2,2,2,2,5,1,1,6,3
2941,0,3,1,3,2,2,2,2,2,2,5,2,1,1,2
2942,0,3,1,1,1,5,2,2,3,3,9,1,1,1,2
2943,0,2,1,2,2,5,1,2,3,2,6,4,4,1,2
2944,0,8,2,3,5,1,1,2,1,2,5,1,4,5,2
2945,4,2,1,1,4,2,2,1,1,2,4,4,2,1,1
2946,0,3,1,1,4,2,2,2,2,3,9,1,1,5,2
2947,1,1,1,1,4,2,1,2,3,2,4,1,4,1,3
2948,0,1,2,1,3,1,1,2,1,2,4,2,2,6,2
2949,3,1,1,1,2,2,1,2,2,1,3,2,3,5,2
2950,0,9,1,1,2,5,1,2,2,2,5,1,3,1,2
2951,0,5,2,1,1,2,2,1,2,2,6,2,3,1,2
2952,0,1,1,1,4,2,1,2,1,1,3,2,1,6,2
2953,0,1,1,1,2,1,1,3,2,2,6,1,1,1,2
2954,2,2,1,1,4,5,1,2,3,1,2,1,3,1,2
2955,1,3,1,1,2,2,2,1,3,2,5,3,2,2,2
2956,0,1,1,2,4,2,2,2,1,2,6,2,2,1,2
2957,1,1,1,3,2,2,2,1,2,2,6,4,2,1,2
2958,3,5,2,1,1,5,1,2,3,1,3,1,4,6,2
2959,2,2,1,2,2,2,2,3,2,2,5,2,1,1,2
2960,0,1,1,2,1,2,1,2,1,1,2,2,4,1,2
2961,1,4,1,1,2,2,1,2,2,1,3,3,2,1,3
2962,0,1,1,1,1,2,1,3,2,2,6,1,2,6,2
2963,0,1,1,1,1,2,1,3,2,1,2,1,1,4,3
2964,1,2,1,2,2,5,1,1,2,2,5,1,1,1,2
2965,0,1,1,3,1,2,2,2,2,2,6,2,1,1,1
2966,0,5,1,1,2,2,1,3,2,2,5,3,3,1,2
2967,0,2,1,1,1,2,2,2,2,2,4,4,1,6,2
2968,0,2,1,3,4,2,1,1,2,2,6,1,4,6,3
2969,0,3,1,1,4,2,2,2,2,2,6,4,4,4,3
2970,3,1,1,1,2,2,2,1,1,1,3,1,3,1,2
2971,0,1,1,1,3,2,1,2,2,2,4,4,1,6,2
2972,0,1,1,2,2,2,1,1,2,2,6,4,3,6,2
2973,0,2,1,2,2,1,2,2,2,2,6,2,2,1,2
2974,0,8,1,1,2,5,1,2,3,2,4,1,1,1,3
2975,0,5,1,2,2,5,2,2,2,2,6,2,1,1,2
2976,3,1,1,1,5,5,2,2,2,2,6,4,3,6,3
2977,0,1,1,2,1,5,1,2,3,1,2,2,4,1,3
2978,1,3,1,1,4,2,1,3,2,2,6,4,4,5,3
2979,0,2,1,2,3,2,2,2,3,2,6,1,2,1,1
2980,0,2,1,1,4,2,2,3,2,3,7,4,1,5,2
2981,1,4,1,1,2,2,1,3,2,1,1,1,2,1,2
2982,0,2,1,1,4,5,1,2,3,2,6,2,1,6,2
2983,1,2,2,1,4,3,1,2,2,2,4,2,3,5,2
2984,0,2,1,1,4,5,2,2,2,2,5,2,2,5,2
2985,0,1,1,3,2,2,2,1,3,2,5,1,1,1,2
2986,3,2,1,1,2,2,1,1,3,2,6,1,3,6,2
2987,0,1,1,1,4,5,2,2,3,1,3,2,1,1,2
2988,0,9,1,1,1,2,2,2,2,2,5,1,4,1,2
2989,0,1,1,1,2,2,2,1,2,1,1,2,2,6,2
2990,0,5,1,2,4,5,2,2,2,2,6,1,4,3,2
2991,0,9,1,2,4,2,1,3,2,1,3,4,3,1,2
2992,0,6,1,1,1,2,2,1,2,2,5,2,1,5,2
2993,0,8,1,1,4,5,2,2,3,2,6,3,1,1,3
2994,0,5,1,2,2,1,2,2,3,2,6,2,1,5,1
2995,0,1,1,1,2,2,1,2,1,2,6,2,2,1,2
2996,0,7,1,2,2,2,2,2,2,1,2,2,4,1,2
2997,0,7,1,2,2,5,2,2,2,1,3,1,1,5,3
2998,2,3,1,1,1,2,2,2,3,2,6,2,1,5,2
2999,0,1,1,1,1,2,1,2,2,2,6,1,3,5,3
3000,3,6,1,2,2,5,2,2,2,2,6,1,2,5,3
3001,1,2,1,1,2,2,1,3,2,2,5,1,3,5,1
3002,0,2,1,2,1,2,1,2,2,2,6,1,1,5,2
3003,0,1,1,2,4,2,2,3,1,2,6,3,1,1,2
3004,0,1,1,1,1,5,2,2,2,2,5,2,2,1,2
3005,0,6,1,1,2,2,2,2,3,2,6,2,2,1,3
3006,1,1,1,2,4,5,2,2,3,3,9,1,2,1,2
3007,0,1,1,1,1,5,2,2,2,2,5,4,2,1,2
3008,0,2,2,1,2,2,2,2,2,2,5,2,2,5,3
3009,1,2,2,2,2,2,1,2,2,2,4,1,2,2,3
3010,0,1,1,1,1,4,2,2,3,1,2,1,1,1,1
3011,0,1,1,2,1,5,2,2,3,3,8,3,4,6,2
