"id","Number.of.Policies","Response","Coverage","Education","EmploymentStatus","Gender"
995,2,1,1,1,2,1
996,3,2,1,4,2,1
997,1,2,1,5,2,1
998,1,1,1,2,2,1
999,2,1,1,1,5,2
1000,1,1,1,3,2,2
1001,9,2,1,1,2,2
1002,3,1,3,4,2,1
1003,2,1,2,2,2,2
1004,6,1,1,1,2,2
1005,2,1,2,4,2,2
1006,3,1,2,1,5,2
1007,1,1,2,4,2,2
1008,3,1,1,2,2,2
1009,2,1,3,2,2,1
1010,2,1,1,1,2,2
1011,5,2,2,2,2,1
1012,1,1,3,3,2,1
1013,2,1,1,4,5,2
1014,7,1,2,1,1,1
1015,2,1,2,1,2,1
1016,1,2,2,2,2,1
1017,2,1,1,1,4,2
1018,7,1,1,2,2,2
1019,1,1,2,4,2,2
1020,1,1,2,1,2,2
1021,1,1,3,2,1,2
1022,7,1,1,4,5,2
1023,1,1,2,2,2,2
1024,2,1,1,4,5,1
1025,2,1,3,1,5,2
1026,2,1,1,1,2,2
1027,1,1,3,1,5,1
1028,5,1,1,2,2,1
1029,1,1,1,4,3,1
1030,5,1,1,4,2,1
1031,6,1,2,4,2,1
1032,3,2,1,1,4,2
1033,2,1,2,2,1,1
1034,7,1,1,2,5,1
1035,1,1,1,1,2,1
1036,8,1,2,2,3,2
1037,2,1,1,1,2,1
1038,2,1,1,4,2,1
1039,1,1,2,1,5,1
1040,1,1,2,4,2,1
1041,2,1,1,1,5,2
1042,2,1,1,1,2,1
1043,1,1,3,4,2,1
1044,1,1,1,4,2,1
1045,1,1,1,2,5,2
1046,8,1,1,1,2,1
1047,9,1,3,2,5,1
1048,2,1,1,4,2,1
1049,1,1,1,2,5,1
1050,6,1,1,4,2,1
1051,1,1,1,4,2,2
1052,6,1,1,1,2,1
1053,3,1,1,4,2,2
1054,1,2,1,1,4,1
1055,3,1,1,2,2,1
1056,9,1,1,4,5,2
1057,1,2,1,1,2,1
1058,7,1,1,2,2,2
1059,1,1,1,4,5,2
1060,2,1,1,2,2,2
1061,7,1,3,2,2,2
1062,2,1,2,1,5,1
1063,1,1,3,4,1,1
1064,5,1,1,2,2,2
1065,1,1,3,1,2,2
1066,1,1,1,1,2,2
1067,1,1,2,5,2,2
1068,2,1,1,4,2,1
1069,1,1,2,1,1,1
1070,1,2,1,5,2,1
1071,9,1,3,2,2,1
1072,2,2,2,2,2,1
1073,1,2,2,2,2,1
1074,6,1,2,1,2,2
1075,1,1,3,5,2,1
1076,1,1,1,2,5,2
1077,1,1,1,3,2,1
1078,6,1,1,2,2,2
1079,2,1,1,1,2,1
1080,2,1,1,2,2,1
1081,1,1,1,4,5,1
1082,1,1,1,4,2,2
1083,3,2,1,2,3,2
1084,5,1,1,1,2,1
1085,2,1,1,4,2,2
1086,7,1,1,4,2,1
1087,1,1,3,1,2,1
1088,3,2,1,5,2,2
1089,4,1,2,1,2,2
1090,4,1,1,1,2,1
1091,2,1,2,1,2,1
1092,1,1,1,4,2,1
1093,4,1,2,1,2,2
1094,1,2,2,3,2,2
1095,1,1,1,4,5,1
1096,2,2,1,3,2,2
1097,1,1,2,4,2,2
1098,2,1,1,2,2,1
1099,1,1,3,1,5,1
1100,2,1,1,2,2,1
1101,7,1,1,4,5,1
1102,2,2,1,4,3,2
1103,4,2,1,2,5,1
1104,3,1,1,1,5,1
1105,3,1,1,4,2,2
1106,1,1,1,2,3,2
1107,1,1,1,4,2,2
1108,2,2,1,4,3,2
1109,4,1,1,4,2,1
1110,1,2,3,1,4,1
1111,8,1,2,2,2,1
1112,7,1,1,2,2,2
1113,1,1,1,1,3,1
1114,1,1,1,2,2,2
1115,1,1,1,2,4,1
1116,2,1,1,1,5,1
1117,6,1,1,2,5,2
1118,6,1,2,1,5,1
1119,1,1,2,2,2,2
1120,2,1,1,4,5,2
1121,2,1,1,1,2,1
1122,1,1,1,4,2,2
1123,2,1,1,4,5,2
1124,7,1,1,1,5,2
1125,8,1,1,4,5,2
1126,1,2,1,2,4,2
1127,3,1,2,4,2,2
1128,2,2,1,1,2,2
1129,2,1,1,2,2,1
1130,3,1,1,5,2,1
1131,2,1,2,1,2,1
1132,1,1,2,1,2,1
1133,2,1,2,2,2,1
1134,2,2,2,2,2,1
1135,1,1,3,1,5,2
1136,1,1,1,4,2,1
1137,5,1,2,2,2,2
1138,1,1,2,2,5,1
1139,1,1,1,1,2,1
1140,1,1,1,4,2,2
1141,2,1,1,4,1,2
1142,9,1,2,4,2,2
1143,2,1,2,5,2,1
1144,6,1,2,1,5,1
1145,2,1,1,1,5,1
1146,1,1,2,4,5,1
1147,9,1,2,2,2,2
1148,1,1,1,2,2,2
1149,1,1,1,2,3,1
1150,2,1,1,1,2,1
1151,4,1,1,2,5,2
1152,1,2,1,4,4,1
1153,1,1,1,4,3,2
1154,8,1,2,5,2,1
1155,2,1,2,4,2,2
1156,1,1,3,4,1,1
1157,2,1,2,4,2,1
1158,3,1,3,4,2,2
1159,3,1,1,5,2,1
1160,8,2,1,4,2,2
1161,1,1,3,2,2,2
1162,1,1,1,4,2,1
1163,2,1,3,2,2,1
1164,1,1,1,1,5,2
1165,1,1,1,1,2,2
1166,1,1,1,2,5,2
1167,9,1,1,1,2,2
1168,5,1,1,3,2,1
1169,1,1,1,4,5,2
1170,1,1,3,4,5,2
1171,1,1,1,2,2,2
1172,1,1,2,1,2,2
1173,4,1,2,4,5,2
1174,1,1,2,1,2,1
1175,2,1,3,5,5,2
1176,1,2,1,1,2,2
1177,5,1,3,1,2,1
1178,1,1,2,1,2,1
1179,1,1,1,4,4,1
1180,1,1,1,2,2,1
1181,2,1,1,1,2,1
1182,1,1,1,2,4,1
1183,2,1,1,5,2,1
1184,2,1,1,2,5,1
1185,2,1,1,4,2,1
1186,1,2,1,3,2,2
1187,6,1,2,4,5,2
1188,2,1,2,2,2,2
1189,6,1,1,2,5,2
1190,1,1,1,1,5,2
1191,2,1,1,1,2,2
1192,9,1,2,2,3,1
1193,2,1,2,4,5,2
1194,3,1,3,1,2,2
1195,8,1,1,2,2,1
1196,1,1,1,4,2,1
1197,6,1,1,1,2,2
1198,3,1,1,4,5,1
1199,2,1,3,4,2,2
1200,1,1,1,4,2,2
1201,7,2,2,5,2,1
1202,9,1,2,2,2,1
1203,1,1,2,1,2,2
1204,9,1,1,1,5,1
1205,3,2,1,2,4,1
1206,2,2,1,2,5,1
1207,1,2,2,2,2,2
1208,1,1,2,3,2,1
1209,9,2,1,1,2,2
1210,2,1,1,1,2,2
1211,2,1,1,1,5,2
1212,1,1,2,2,4,1
1213,3,1,1,2,2,1
1214,5,1,1,4,5,1
1215,2,1,2,1,2,1
1216,9,1,2,3,2,1
1217,2,1,1,1,2,1
1218,1,1,1,1,5,2
1219,2,1,1,4,2,2
1220,2,1,1,1,2,1
1221,3,1,1,4,2,2
1222,6,1,2,3,2,1
1223,2,1,1,1,2,1
1224,2,1,2,1,2,1
1225,6,1,1,4,2,2
1226,2,1,2,4,5,2
1227,6,1,3,1,5,1
1228,2,1,1,2,2,2
1229,7,2,1,1,2,1
1230,9,1,1,2,2,2
1231,1,2,2,4,2,1
1232,7,1,3,4,2,1
1233,3,1,2,1,3,1
1234,2,1,2,4,2,1
1235,9,2,1,4,4,2
1236,2,1,3,4,2,1
1237,2,1,1,1,2,2
1238,9,1,1,4,2,1
1239,2,1,2,4,2,2
1240,1,1,1,2,2,1
1241,4,1,2,2,2,1
1242,2,2,1,2,2,2
1243,3,1,3,4,2,1
1244,1,1,2,2,4,2
1245,4,1,2,2,2,2
1246,6,2,2,4,1,1
1247,1,1,2,2,2,2
1248,1,1,2,2,5,1
1249,1,2,1,4,2,2
1250,9,1,2,2,3,1
1251,9,2,2,4,5,2
1252,1,2,2,2,4,1
1253,9,1,1,4,2,2
1254,2,1,1,4,5,2
1255,3,1,2,4,5,2
1256,2,2,1,1,2,2
1257,1,1,2,3,2,1
1258,1,1,2,2,2,1
1259,3,1,3,4,5,1
1260,1,1,1,3,2,1
1261,1,1,1,5,1,1
1262,2,1,1,4,2,1
1263,1,1,1,2,5,1
1264,1,1,1,4,2,2
1265,7,1,1,4,5,2
1266,3,1,3,2,1,2
1267,2,1,2,1,2,2
1268,1,2,1,4,2,2
1269,3,1,1,1,2,1
1270,1,1,2,4,2,1
1271,9,1,1,2,2,1
1272,3,1,2,1,5,1
1273,6,2,2,4,1,1
1274,5,1,2,1,5,1
1275,5,1,1,2,2,2
1276,1,2,3,4,5,2
1277,1,1,1,3,2,2
1278,2,1,1,4,5,1
1279,2,1,1,2,2,1
1280,6,1,3,3,2,2
1281,1,1,1,4,5,2
1282,3,1,3,1,2,1
1283,2,1,2,2,2,1
1284,1,2,2,1,2,1
1285,6,1,1,1,5,2
1286,3,1,1,5,2,1
1287,1,2,2,2,2,2
1288,1,1,1,4,2,1
1289,1,1,1,1,2,1
1290,2,1,1,1,2,1
1291,2,1,3,1,2,2
1292,6,1,1,4,2,1
1293,1,2,3,1,2,1
1294,2,2,1,2,2,2
1295,1,1,3,4,5,2
1296,1,1,1,1,2,2
1297,2,1,2,4,2,2
1298,1,2,3,2,2,2
1299,2,1,2,2,2,2
1300,1,2,1,1,5,2
1301,8,1,2,1,2,1
1302,2,2,1,1,5,2
1303,3,1,1,5,2,1
1304,1,1,2,3,3,1
1305,2,2,1,1,2,2
1306,1,1,2,2,2,2
1307,2,1,1,1,2,1
1308,2,2,1,5,1,2
1309,6,1,1,1,2,1
1310,9,1,1,3,5,2
1311,1,2,2,2,2,2
1312,2,1,1,1,1,1
1313,2,1,2,4,2,2
1314,2,1,2,4,2,1
1315,5,1,2,4,5,2
1316,5,1,2,4,5,1
1317,2,1,1,4,2,1
1318,3,1,2,3,2,2
1319,1,1,2,2,2,2
1320,6,1,1,1,2,2
1321,1,1,1,4,2,1
1322,1,1,2,2,2,2
1323,1,1,2,2,5,2
1324,4,1,2,4,2,1
1325,1,1,1,2,5,2
1326,1,1,3,1,2,2
1327,2,1,2,4,2,1
1328,1,1,2,4,5,1
1329,2,1,1,4,2,2
1330,4,1,1,4,5,2
1331,2,1,1,4,2,1
1332,4,1,2,1,5,2
1333,1,1,1,5,5,1
1334,2,1,3,4,2,2
1335,1,1,2,1,2,2
1336,1,1,2,2,5,1
1337,1,1,1,2,1,2
1338,1,1,1,4,5,2
1339,7,1,1,1,5,1
1340,3,1,2,3,2,1
1341,2,1,2,1,2,1
1342,4,1,1,2,2,2
1343,5,1,1,5,2,2
1344,4,1,1,2,3,1
1345,1,1,2,2,1,1
1346,1,1,1,1,2,2
1347,6,1,2,2,2,1
1348,1,1,2,4,2,2
1349,1,1,2,2,2,1
1350,3,1,1,1,2,2
1351,1,2,1,4,4,1
1352,6,1,1,5,2,1
1353,8,1,1,4,2,1
1354,1,1,2,1,2,2
1355,1,1,2,4,2,2
1356,1,1,3,1,5,2
1357,5,1,1,1,2,2
1358,1,2,2,4,4,2
1359,1,1,1,1,5,1
1360,2,2,1,2,2,2
1361,2,1,2,2,2,1
1362,2,1,1,1,5,2
1363,1,1,1,4,2,2
1364,1,1,2,4,5,1
1365,7,2,2,5,2,1
1366,1,1,2,2,2,2
1367,8,1,1,1,2,1
1368,3,1,1,5,2,1
1369,1,2,1,1,2,2
1370,8,1,2,1,2,1
1371,1,1,1,2,5,1
1372,1,1,2,4,2,1
1373,1,1,1,1,2,2
1374,4,1,1,4,2,1
1375,7,1,2,1,5,2
1376,3,1,1,2,2,1
1377,1,1,1,4,5,1
1378,5,1,2,1,5,2
1379,1,1,2,4,2,1
1380,2,1,1,3,2,1
1381,3,1,1,5,2,1
1382,1,1,1,1,2,2
1383,2,1,1,1,2,2
1384,9,1,3,1,1,2
1385,6,1,2,1,5,2
1386,1,1,1,2,1,1
1387,5,1,1,1,1,1
1388,9,1,1,2,3,2
1389,1,2,1,2,2,2
1390,3,2,1,4,2,1
1391,2,1,1,4,2,2
1392,1,2,2,2,2,1
1393,2,1,1,4,5,2
1394,8,1,2,1,2,1
1395,2,2,1,2,5,2
1396,1,1,2,4,2,1
1397,2,1,2,4,2,1
1398,2,1,1,5,2,2
1399,2,1,3,4,2,2
1400,2,1,2,4,2,2
1401,2,2,1,5,4,1
1402,9,1,1,5,2,2
1403,4,1,3,2,2,1
1404,1,2,2,4,4,1
1405,2,2,1,1,2,1
1406,3,1,1,1,2,1
1407,2,2,1,4,2,2
1408,2,1,2,4,3,1
1409,5,1,2,5,2,2
1410,1,2,1,4,3,1
1411,1,1,1,2,2,1
1412,1,2,1,1,2,2
1413,9,1,1,4,2,1
1414,5,1,1,5,2,1
1415,1,1,1,5,3,1
1416,2,1,1,2,2,2
1417,1,1,2,2,2,2
1418,6,1,1,4,2,1
1419,1,2,2,2,2,1
1420,2,2,1,1,4,2
1421,2,2,1,4,4,2
1422,6,2,1,2,2,1
1423,2,2,1,1,1,1
1424,1,1,2,4,5,1
1425,1,1,2,4,2,1
1426,2,1,1,1,2,2
1427,1,1,1,2,2,2
1428,1,1,1,2,2,2
1429,1,1,2,1,4,1
1430,2,1,1,2,5,1
1431,1,1,1,2,2,1
1432,7,1,2,4,5,2
1433,1,1,1,4,2,1
1434,1,1,1,1,2,2
1435,1,1,3,5,2,2
1436,2,1,1,1,2,2
1437,1,2,2,3,2,2
1438,2,1,2,1,3,1
1439,1,1,1,4,2,1
1440,6,1,3,1,2,2
1441,5,1,1,4,5,2
1442,1,1,1,1,1,1
1443,2,1,1,2,5,1
1444,7,1,1,2,5,2
1445,1,2,1,5,2,1
1446,4,1,1,5,2,1
1447,1,1,1,3,2,2
1448,1,1,1,2,5,2
1449,3,1,1,2,5,2
1450,8,2,2,4,2,2
1451,2,1,1,1,2,2
1452,1,1,1,2,5,2
1453,8,1,1,4,1,1
1454,1,1,1,1,2,2
1455,3,1,2,4,5,1
1456,1,1,3,3,5,1
1457,1,2,1,2,2,2
1458,6,1,1,4,5,1
1459,3,1,1,4,2,2
1460,1,2,1,4,2,2
1461,8,2,2,4,2,2
1462,2,1,3,2,5,2
1463,2,1,1,1,5,1
1464,3,1,2,2,2,2
1465,2,1,1,4,5,1
1466,1,1,1,4,2,2
1467,2,1,2,2,2,2
1468,2,1,2,4,2,1
1469,3,2,1,1,2,1
1470,3,1,2,2,2,1
1471,2,1,2,2,2,2
1472,9,1,1,2,2,2
1473,1,2,2,2,2,1
1474,7,1,2,1,2,1
1475,9,1,1,2,2,1
1476,6,1,1,4,2,1
1477,3,1,1,1,5,1
1478,1,1,1,2,2,2
1479,1,1,1,1,4,1
1480,2,1,1,1,2,1
1481,1,1,1,1,2,1
1482,4,1,1,1,1,1
1483,1,1,1,5,2,1
1484,1,1,1,1,2,1
1485,1,1,2,1,2,1
1486,8,1,1,1,2,1
1487,7,1,2,3,2,1
1488,1,1,1,4,5,2
1489,3,1,2,2,2,1
1490,8,1,2,2,5,1
1491,2,1,1,2,2,1
1492,1,1,1,2,2,2
1493,1,1,1,4,2,1
1494,1,1,2,1,2,2
1495,1,1,2,2,5,1
1496,1,1,2,2,2,1
1497,1,1,2,2,2,2
1498,3,1,2,1,5,2
1499,3,1,1,4,2,2
1500,2,1,1,4,5,1
1501,2,1,1,1,2,1
1502,6,2,1,5,2,1
1503,1,1,1,2,1,2
1504,1,1,2,4,3,1
1505,1,1,1,4,2,2
1506,1,1,2,1,2,1
1507,2,1,1,4,2,1
1508,1,1,1,4,2,2
1509,9,1,2,1,2,2
1510,3,1,3,2,2,1
1511,1,1,2,4,2,1
1512,2,1,3,4,5,1
1513,1,1,1,2,5,2
1514,5,1,2,2,2,1
1515,2,1,2,5,2,2
1516,1,1,3,4,2,1
1517,7,1,3,4,2,1
1518,8,1,1,4,5,2
1519,4,1,2,4,5,1
1520,1,1,2,2,2,1
1521,1,1,1,5,5,2
1522,2,1,3,4,5,2
1523,2,2,1,4,4,2
1524,1,1,1,4,2,1
1525,2,1,1,2,5,2
1526,1,1,1,2,2,2
1527,2,1,1,2,5,1
1528,1,1,2,5,2,1
1529,1,1,1,1,3,1
1530,2,1,1,2,5,2
1531,2,1,2,2,1,1
1532,1,1,1,4,1,1
1533,2,1,2,5,2,2
1534,1,2,1,4,2,1
1535,1,1,1,2,5,2
1536,2,1,1,3,2,1
1537,1,1,1,2,2,2
1538,1,2,1,4,4,1
1539,7,1,1,1,2,1
1540,2,2,3,5,2,2
1541,1,1,3,1,5,1
1542,5,1,1,4,2,2
1543,7,1,1,2,2,1
1544,3,1,2,4,2,1
1545,6,1,1,1,2,2
1546,1,1,1,1,2,1
1547,4,1,1,2,1,2
1548,2,1,1,4,5,1
1549,2,1,1,2,5,2
1550,2,1,1,1,5,2
1551,2,2,1,1,2,2
1552,1,1,3,1,2,2
1553,1,1,3,2,2,2
1554,1,1,2,4,2,2
1555,2,1,1,5,2,2
1556,3,1,2,4,2,2
1557,1,1,1,2,2,2
1558,3,1,1,1,2,1
1559,2,1,3,1,2,1
1560,1,1,2,1,2,2
1561,3,2,1,2,4,1
1562,2,2,1,2,5,1
1563,9,1,2,1,5,2
1564,2,1,1,2,5,2
1565,5,1,3,4,2,2
1566,2,1,2,4,2,2
1567,9,1,2,2,5,2
1568,9,1,1,3,2,1
1569,8,1,1,2,2,1
1570,6,2,2,4,2,2
1571,8,1,1,2,5,1
1572,1,1,1,5,2,1
1573,2,1,1,2,2,1
1574,2,1,1,2,2,2
1575,1,1,1,4,5,1
1576,2,1,1,2,2,1
1577,1,1,1,1,2,2
1578,1,2,2,3,2,2
1579,1,1,1,4,2,1
1580,2,1,2,2,2,2
1581,2,1,1,2,5,1
1582,6,1,3,3,2,1
1583,3,1,2,1,2,2
1584,1,1,1,2,2,2
1585,3,1,3,1,2,1
1586,1,1,1,1,2,2
1587,1,1,1,4,2,2
1588,3,1,1,4,2,1
1589,1,1,2,2,2,2
1590,2,1,1,4,2,1
1591,6,1,2,2,2,1
1592,1,1,1,4,5,1
1593,2,1,2,4,2,2
1594,1,1,1,2,5,1
1595,3,1,1,2,5,2
1596,1,2,3,2,2,2
1597,2,1,1,1,5,1
1598,5,1,1,2,5,2
1599,1,1,1,1,2,1
1600,3,1,1,4,5,2
1601,1,1,1,2,2,2
1602,8,1,3,1,4,2
1603,1,1,1,4,2,1
1604,1,1,2,4,5,2
1605,1,1,2,4,5,2
1606,1,1,1,1,5,1
1607,3,1,2,1,2,1
1608,2,1,2,3,2,1
1609,3,1,1,5,5,1
1610,1,1,2,4,2,2
1611,9,1,2,3,5,2
1612,3,1,1,3,2,1
1613,7,1,1,4,2,2
1614,7,1,1,1,5,1
1615,3,1,1,1,5,2
1616,1,1,1,4,5,1
1617,1,1,2,4,2,2
1618,1,1,1,1,2,1
1619,5,1,1,1,5,2
1620,9,1,2,4,2,2
1621,1,2,1,2,2,2
1622,2,1,3,1,5,1
1623,4,1,3,2,5,2
1624,2,2,1,2,2,2
1625,6,1,3,1,5,1
1626,3,1,1,4,2,2
1627,5,1,1,2,5,2
1628,1,1,1,4,2,1
1629,1,1,2,2,2,1
1630,5,2,1,2,4,2
1631,2,1,2,3,5,2
1632,7,1,2,4,2,2
1633,1,1,1,2,2,1
1634,1,1,3,1,3,1
1635,7,1,1,1,5,1
1636,7,2,1,1,2,1
1637,3,1,3,2,5,2
1638,1,1,1,5,2,1
1639,8,1,1,1,5,2
1640,2,1,3,2,2,1
1641,2,1,3,3,5,1
1642,2,1,1,1,2,2
1643,9,1,1,5,2,1
1644,2,1,2,1,5,1
1645,2,2,2,2,2,1
1646,1,1,1,5,2,2
1647,9,1,1,2,5,2
1648,7,1,1,2,2,1
1649,7,1,1,2,2,2
1650,3,1,3,2,2,1
1651,2,1,1,1,2,1
1652,6,1,3,2,2,2
1653,1,1,3,4,2,2
1654,1,1,1,1,2,2
1655,4,1,1,2,2,1
1656,1,2,1,4,3,1
1657,3,1,2,2,2,2
1658,2,1,1,2,2,1
1659,3,1,1,1,2,2
1660,2,1,1,4,5,2
1661,9,1,1,1,2,1
1662,1,2,3,2,2,2
1663,7,1,2,1,2,1
1664,5,1,1,4,5,2
1665,6,1,1,4,2,2
1666,6,1,2,4,5,2
1667,1,1,1,5,2,1
1668,5,1,2,4,5,2
1669,1,1,2,5,2,1
1670,6,1,2,2,5,1
1671,1,1,1,4,5,2
1672,1,1,1,4,5,1
1673,2,1,2,4,2,1
1674,3,1,1,2,2,2
1675,1,1,1,2,5,1
1676,3,2,1,4,2,2
1677,1,1,2,1,2,2
1678,1,1,2,4,5,1
1679,5,1,2,1,3,1
1680,4,2,1,2,2,2
1681,3,2,1,2,3,2
1682,6,1,1,4,2,1
1683,2,1,2,2,2,1
1684,1,2,2,4,2,1
1685,1,1,2,5,2,2
1686,2,1,1,2,2,1
1687,9,1,1,5,2,1
1688,1,1,2,4,2,2
1689,1,2,1,5,2,2
1690,3,1,1,4,2,2
1691,1,1,1,5,4,1
1692,1,1,1,1,2,1
1693,3,1,2,2,2,2
1694,3,1,1,5,2,2
1695,4,1,1,4,2,2
1696,4,1,3,4,5,2
1697,2,1,1,4,2,2
1698,1,1,2,4,2,1
1699,8,1,1,2,2,1
1700,1,1,1,1,2,1
1701,2,1,1,4,2,1
1702,1,2,2,2,2,1
1703,3,1,1,1,2,2
1704,3,1,1,2,2,1
1705,1,1,1,5,2,2
1706,1,1,1,1,5,2
1707,4,1,1,5,2,1
1708,3,1,2,2,5,1
1709,4,1,2,1,2,1
1710,2,2,3,4,2,1
1711,1,1,1,4,2,1
1712,2,2,1,4,1,1
1713,2,1,2,2,5,1
1714,8,1,1,4,2,2
1715,1,1,1,4,1,1
1716,7,1,1,4,2,1
1717,8,1,2,2,5,2
1718,5,1,1,4,2,2
1719,1,1,1,4,1,2
1720,3,1,3,1,2,2
1721,2,1,2,4,2,1
1722,2,1,2,5,2,1
1723,1,2,1,5,2,1
1724,5,1,1,4,2,1
1725,8,1,2,2,2,2
1726,2,1,3,2,2,2
1727,1,1,1,2,2,1
1728,1,1,1,2,2,2
1729,9,2,1,1,2,2
1730,8,2,1,4,2,2
1731,2,1,1,4,2,1
1732,2,1,1,2,2,1
1733,8,1,2,2,2,1
1734,9,2,1,1,2,2
1735,2,1,1,2,2,2
1736,8,1,1,4,2,2
1737,2,1,1,2,3,2
1738,1,2,2,1,4,1
1739,1,2,1,3,1,1
1740,7,1,2,1,2,1
1741,1,1,1,2,2,1
1742,1,1,1,1,1,2
1743,4,1,1,2,2,1
1744,1,1,1,2,2,1
1745,1,2,1,2,2,1
1746,2,1,1,2,2,1
1747,8,1,2,2,2,2
1748,2,1,1,2,2,2
1749,3,1,1,2,2,2
1750,3,1,2,1,2,1
1751,1,1,1,1,2,2
1752,6,1,2,2,5,2
1753,4,1,1,2,3,1
1754,1,1,2,2,2,1
1755,1,1,1,1,5,1
1756,2,2,3,5,2,2
1757,5,1,1,1,2,1
1758,2,2,1,1,2,2
1759,9,2,1,4,2,2
1760,1,1,1,1,3,1
1761,3,1,1,4,2,2
1762,3,1,1,1,1,1
1763,1,1,1,1,2,1
1764,2,1,2,4,1,2
1765,2,1,2,2,2,1
1766,1,1,1,2,2,2
1767,5,1,1,2,5,1
1768,5,1,1,1,2,1
1769,1,1,1,2,3,2
1770,2,1,1,2,2,1
1771,2,1,1,2,5,1
1772,8,1,1,1,1,2
1773,1,1,1,2,2,1
1774,3,1,2,2,5,2
1775,1,2,1,1,5,1
1776,9,2,1,2,2,1
1777,5,1,1,2,1,2
1778,2,1,1,4,5,1
1779,2,1,1,4,3,2
1780,1,1,2,2,2,2
1781,2,1,2,2,2,2
1782,1,1,1,1,2,1
1783,6,1,1,1,3,2
1784,3,1,1,4,1,2
1785,1,2,2,4,2,1
1786,1,1,1,2,2,2
1787,2,1,1,3,2,2
1788,1,1,1,4,5,1
1789,2,1,1,1,1,1
1790,1,2,1,1,3,2
1791,7,1,1,2,2,1
1792,1,1,2,2,2,1
1793,1,1,2,2,2,1
1794,5,1,2,1,4,1
1795,9,1,2,1,2,2
1796,1,1,1,2,2,2
1797,2,1,3,3,2,1
1798,2,1,2,1,2,1
1799,1,1,3,4,2,2
1800,2,1,2,1,2,2
1801,2,1,1,3,5,1
1802,3,1,1,3,2,1
1803,3,1,2,1,2,2
1804,3,1,1,1,2,1
1805,1,1,1,1,2,1
1806,2,2,1,4,4,2
1807,2,1,2,4,2,1
1808,1,1,1,4,2,2
1809,6,1,3,2,2,1
1810,3,1,1,3,2,2
1811,2,1,2,4,2,2
1812,8,1,3,5,2,1
1813,2,1,2,2,2,2
1814,3,1,1,2,2,2
1815,2,2,1,1,2,2
1816,1,1,2,4,2,2
1817,5,1,1,1,1,1
1818,4,1,1,4,2,1
1819,2,1,1,5,2,1
1820,1,1,2,2,2,2
1821,2,1,1,4,2,1
1822,7,1,1,2,2,1
1823,2,1,1,4,2,1
1824,1,1,1,4,5,2
1825,2,1,2,2,2,2
1826,9,1,1,1,2,1
1827,3,1,1,2,5,2
1828,2,1,1,2,5,2
1829,1,1,2,3,2,1
1830,1,1,1,4,2,1
1831,1,1,1,2,5,1
1832,3,1,3,5,2,2
1833,2,1,1,1,2,2
1834,1,1,2,4,2,1
1835,1,1,2,5,2,1
1836,2,1,1,2,1,1
1837,5,1,1,2,2,2
1838,3,1,1,1,2,1
1839,1,1,1,4,2,2
1840,6,2,1,1,2,1
1841,5,1,1,2,5,1
1842,1,1,1,2,5,1
1843,1,1,1,2,5,2
1844,2,1,1,1,2,2
1845,3,1,2,1,5,1
1846,7,1,1,1,2,1
1847,1,2,2,1,3,1
1848,2,1,2,4,2,2
1849,7,1,1,1,5,1
1850,4,1,1,2,2,1
1851,1,1,2,2,5,2
1852,3,1,1,2,2,2
1853,7,1,1,2,2,2
1854,3,1,1,5,5,1
1855,2,2,2,2,2,1
1856,7,1,1,1,2,2
1857,2,1,1,4,5,1
1858,6,2,2,4,1,1
1859,2,1,2,4,2,2
1860,6,2,1,2,2,1
1861,1,1,1,2,3,1
1862,2,1,1,5,2,1
1863,1,1,1,2,2,2
1864,2,1,1,3,2,2
1865,2,1,1,4,2,2
1866,1,1,1,2,5,2
1867,3,1,1,3,3,2
1868,1,1,1,5,2,2
1869,7,1,2,4,2,2
1870,5,1,1,5,2,1
1871,1,1,1,2,5,1
1872,3,1,3,4,5,1
1873,5,1,2,1,2,1
1874,2,2,1,1,4,2
1875,2,1,2,2,5,1
1876,3,1,1,4,2,2
1877,5,1,2,2,2,1
1878,5,1,1,2,2,2
1879,4,1,1,3,5,1
1880,4,1,2,2,5,1
1881,2,1,1,4,2,2
1882,1,2,3,4,2,2
1883,3,1,2,1,2,1
1884,4,1,1,3,2,2
1885,3,1,1,1,5,2
1886,1,1,3,4,5,1
1887,1,1,1,4,5,2
1888,1,1,2,2,2,1
1889,3,1,2,5,2,2
1890,2,1,1,2,2,1
1891,1,2,1,5,2,1
1892,2,1,3,2,2,1
1893,1,1,2,4,2,2
1894,9,1,1,2,5,1
1895,9,2,1,1,2,2
1896,3,1,2,2,2,1
1897,1,1,3,2,3,1
1898,6,1,1,4,2,2
1899,2,1,2,1,2,1
1900,2,1,3,2,5,2
1901,1,1,1,4,2,1
1902,1,2,2,3,2,1
1903,2,1,1,1,1,2
1904,2,1,1,4,2,2
1905,1,1,1,4,2,2
1906,3,1,1,1,5,1
1907,4,1,1,2,5,2
1908,2,1,1,1,2,1
1909,6,1,1,2,5,1
1910,7,1,1,1,2,1
1911,2,1,1,2,1,2
1912,1,1,2,5,5,1
1913,1,1,1,2,2,1
1914,2,1,1,2,2,1
1915,2,1,1,1,5,1
1916,1,1,1,4,5,2
1917,1,2,1,2,5,1
1918,2,1,1,2,2,2
1919,7,1,3,4,2,2
1920,2,2,1,2,5,1
1921,1,1,1,4,2,2
1922,1,2,2,3,2,2
1923,1,1,1,1,2,1
1924,1,2,2,1,4,1
1925,2,1,1,2,2,1
